category,products,avg_price,avg_rating,reviews,avg_discount
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,1,2339.0,3.8,1118,42.0
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,2,221.5,4.15,44261540,78.5
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,1,649.0,3.5,7222,35.0
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,2,574.0,3.5999999999999996,149692804,56.5
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,2,749.0,4.05,73525195,46.5
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,2,1940.0,4.199999999999999,2039810976,44.5
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,3,99.0,4.033333333333333,139687511396,90.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,1,499.0,4.4,25177,55.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,2,262.5,4.4,83728076,54.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,1,349.0,3.9,817,65.0
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,233,360.7236909871244,4.151931330472103,242694399479289436316905248711518830411439941339194363226247681875743994130458159378276618420850749761934974355107524871135525764621076872426993789792925959259581883146567064131329746450200531492107732178060214235362426993782879110576127242699436342510971045654713120280624269766248712085017801717112113131321951280681423011075208502685549291938797430411195162557732575771312065581423265159378268593782957673613552545110911135522806178817491619378731878923993231831422497497785833562426915085626141846147424229051423625528791107529746295211793782651943633454010576731885104551523nan1075112545114896418730492658381511454nan83819763190224270439937928943641690524870151893041143994133919436422634768187578154399413045937793772085018424870135528188200527732602142324269439947928943641690524870151893041113391226247681875781593772766208501847497619339743551075135525754621076869792925958188314656706413132974628062104502005314977321780602142353610576127,59.377682403433475
Computers&Accessories|Accessories&Peripherals|HardDiskBags,3,298.3333333333333,4.333333333333333,13568210103025,54.333333333333336
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,1,199.0,4.1,7333,75.0
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",11,569.8181818181819,3.9818181818181815,73549638401117317791208352211354410261462,60.81818181818182
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",2,77.0,3.4,152335692,87.5
